[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0, 0.0, 0.2511487728551902, 0.71487189149458, 1.298611360039865, 7.480219882041653, 12.042771878799476, 7.711449370178768, 6.8030287387516815, 0.7450134115475262, 18.29698426938661), rho: 0.125, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 214, observation: (1, 1.5770181735254543, 0.5, 0.7019261668951821, 0.33965176820019627, 2.1878286651807026, 7.820237374814393, 1.2270721492770773, 2.3534890633935315, 1.2427836058103046, 10.229974956778493, 1.7929285868879241), rho: 0.125, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 92, observation: (1, 0.9042674549059067, 0.5, 0.6054651448352689, 0.5616811236082674, 5.1347899338441225, 2.351298833451625, 0.7216283230154473, 3.901604564441994, 7.514165157642867, 1.9068125934736107, 6.391752106311584), rho: 0.875, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 48, observation: (1, 3.857033116432584, 0.5, 0.6024322135750458, 0.5938129568052549, 7.07487803991609, 38.9722934451829, 5.38856363714653, 27.452357924966066, 6.588785298916261, 14.65345950650271, 2.1693495801199525), rho: 0.75, reward: 0.03860956430435181 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 245, observation: (1, 6.9440593412280665, 0.5, 0.9492880212753749, 0.3717040693060093, 12.131544248096422, 2.556189319267561, 17.630134393052785, 3.861906631017467, 9.517837367789527, 25.617651339460053, 5.783668611320083), rho: 0.25, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 5.632508375004127, 0.5, 0.3741729677715856, 0.676932598175649, 13.397732426623243, 1.573937363466864, 3.9555883733975605, 0.5500696953559482, 0.6617638619270525, 7.354646390934408, 6.483039556870577), rho: 0.625, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (1, 2.568104316267593, 0.5, 0.4639664829011866, 0.572595478812525, 2.476147898589316, 2.428464524024309, 4.900356580423276, 6.054584581339512, 0.589790064348493, 1.4241553814551298, 6.234877309359942), rho: 0.375, reward: 0.1855267733335495 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 60, observation: (1, 1.6248989187598883, 0.5, 0.3155559169793428, 0.87975343450919, 1.7448687139700134, 3.2566307543314315, 0.0933190945222341, 18.924416859622276, 19.3420673791745, 0.7336968338855155, 1.18387189598929), rho: 0.75, reward: 0.03098883479833603 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 0.9000171135709716, 0.5, 0.27174295060218745, 0.5799681901763618, 5.056499605933885, 4.2565955529139785, 5.989879164074564, 21.114168800840403, 13.77751119251493, 15.471612897928102, 21.899681910186537), rho: 0.625, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 148, observation: (1, 7.169140375335184, 0.5, 0.17551224076860927, 0.6267637173651353, 5.751716209845901, 19.280784610588316, 10.484748838737548, 19.29597853752537, 18.643129074834036, 2.4160639065958724, 8.597242520559341), rho: 0.0, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 190, observation: (0, 0.008632525917091826, -0.11636747408290815, 0.972858180085144, 0.43401116761297776, 18.479941522193947, 1.0201159226938197, 20.868930050079328, 10.389354948756049, 5.4699530673457755, 8.387342121525796, 2.1845992505239056), rho: 0.75, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 157, observation: (0, 6.196189709198725, 0.5, 0.7616166618889443, 0.6132734379980082, 3.56603481740073, 7.323181485018253, 7.362751536099305, 7.9770486558692095, 44.44839752766918, 0.4291490111612556, 5.3956804748836875), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (0, 1.7651664970438619, 0.5, 0.7169618920145174, 0.8981249762462, 9.270743398229005, 9.02459627492901, 5.105564649858, 0.06046991723026626, 8.46186635799357, 1.5687262550270733, 9.42051212409931), rho: 0.375, reward: 5.114650249481201 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 211, observation: (0, 3.2890166031076014, 0.5, 0.5244803448685317, 0.15145700974712728, 10.684173763744997, 0.22106535304596442, 2.6470539701773133, 9.91878377156476, 15.154548926243912, 14.402472765591952, 4.652160706943993), rho: 0.0, reward: 11.191160202026367 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 51, observation: (0, 0.025857861449122013, 0.30710786144912205, 0.5718408889568846, 0.48455377297071367, 4.422595879993821, 5.7250227728184235, 44.36830795843078, 3.1954217663181463, 2.5141060187863817, 3.195740008264978, 4.773056801168406), rho: 0.125, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 53, observation: (0, 0.6195263089870695, 0.35241542043619156, 0.5293441377521291, 0.07879926464997833, 27.893594418217226, 4.087696649323801, 6.938060641492706, 5.151539894931386, 20.149591998226942, 2.8090798600613693, 17.358620099504257), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 156, observation: (0, 0.8289827565405398, 0.5, 0.21202353240695038, 0.7333097500535253, 16.525689723257944, 23.455374554417816, 2.1699416043244875, 0.7755925368452765, 11.180694125377942, 9.130926560613846, 5.222125743407706), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 101, observation: (0, 1.8681977669551588, 0.5, 0.9961694093773861, 0.3147245671351818, 28.29487327350715, 0.5623659759009889, 13.821176877931647, 3.8029059094131497, 3.7636715719205727, 0.10090955645487702, 1.3271736993713117), rho: 0.375, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 8, observation: (0, 0.21908603249003422, 0.11361728249003422, 0.4426362731957679, 0.10307433567351698, 0.7439254011548574, 2.67246783755138, 0.34950720341036245, 10.001582542196292, 11.589106452603806, 4.857312292058214, 2.6174946212618706), rho: 0.0, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 231, observation: (0, 0.17835172354440268, -0.6767809939655631, 0.26362315964627936, 0.734538587778745, 1.5370301488735996, 8.825970813627409, 3.049094575393933, 23.684747595775022, 2.192598699854664, 3.8837813902377345, 7.770614362315104), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1/2000): reward: 1.5609356239438057, rho: 0.40625, rates: 0.8280467811971903
[TRAIN]: SAVE MODEL: best_reward: 0.07804678119719029
