[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 521
[ENV]: Finished init Environment
[TRAIN]: actions: 521, observations: 12
[TRAIN]: CUDA: True
[TRAIN_EPISODE]: (1): action: 209, observation: (1, 0, 0.0, 0.16254514753708338, 0.8230963043013015, 0.762073917333823, 2.0773555464395517, 3.3658902181904136, 2.660659591806945, 1.5446270938093791, 0.6183515479688722, 0.7576628406807568), action_value: 0.0, 0.21, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 315, observation: (1, 0.27023589666233705, 0.14423589666233705, 0.8407871192949202, 0.43954467546898046, 0.9891545499533102, 0.9967126391129313, 3.768889952833299, 0.5611875180497791, 1.6877213236834603, 2.362973233468815, 2.073576610790985), action_value: 0.0, 0.41000000000000003, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 510, observation: (1, 0.36173713127573187, 0.259973027938069, 0.21112226827626324, 0.539629980588269, 1.5153705383342455, 2.4213604502988444, 0.3732750164805388, 0.4686123601351937, 2.922415278554109, 2.9595312780722005, 1.0867800173152584), action_value: 0.0, 0.13, 0.4, reward: 0.10183080285787582 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 136, observation: (1, 0.3142101335996482, 0.4961831615377172, 0.20496879632572285, 0.636210368801102, 1.778758456326932, 1.2898607351169233, 2.6257692648444344, 1.6821103947093514, 2.022748751221431, 1.9041501317084137, 0.49139645074069244), action_value: 0.0, 0.33, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 495, observation: (1, 0.23811307759111272, 0.5, 0.6834440824285558, 0.21565700034491497, 2.329246986078985, 2.619458523025404, 2.7624374161671374, 3.203672525152333, 0.6977491647174456, 1.5436500590756794, 2.494303524202528), action_value: 0.0, 0.19, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 309, observation: (1, 0.20550870652564335, 0.5, 0.36815749626224414, 0.46694595305524667, 2.4477843226184284, 2.6801124384875505, 0.4072626221246788, 0.22346776421489076, 2.402756991606996, 0.9843675401520744, 2.9910912152613487), action_value: 0.0, 0.29, 0.4, reward: 0.42405465245246887 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 78, observation: (1, 0.5492134271534671, 0.5, 0.449718375765609, 0.7827998484954948, 1.0523150691298653, 3.1127599208163685, 1.9064364541659595, 3.4667869117797987, 0.537200301208055, 1.4843875046810295, 0.5807436513818834), action_value: 0.0, 0.45, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 264, observation: (1, 0.2990885592118274, 0.5, 0.7203115385420497, 0.6745826580386962, 0.8833623329358782, 2.951430687812063, 2.4115109504077465, 1.7208747376740223, 3.5438713971487013, 2.8517998593464764, 0.8089804308762987), action_value: 0.0, 0.08, 0.4, reward: 0.025206999853253365 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 320, observation: (1, 0.36652827711681774, 0.5, 0.9515981926928837, 0.11456688398086923, 1.5037737095101156, 1.5667656732831556, 2.413854036760859, 2.4929914920629415, 2.5933120359951545, 0.7450993582402001, 1.7455692682480735), action_value: 0.0, 0.48, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 311, observation: (1, 0.26816351101862923, 0.48016351101862925, 0.4713522573075296, 0.0942690281081805, 1.6038222116246477, 0.8167960152132484, 3.2525143658911166, 0.6315123204973137, 2.500974578130458, 1.0911986154063973, 3.0107046589424638), action_value: 0.0, 0.22, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 341, observation: (0, 0.09227123821138164, 0.4404347492300109, 0.07184935763540412, 0.5762087481868202, 2.8748010527285746, 3.186497889394212, 3.191453337385199, 0.8944544509524313, 3.8555939528602474, 1.1446451080947866, 1.4187523932556994), action_value: 0.0, 0.42, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 319, observation: (0, 0.04196769923372406, 0.23040244846373498, 0.04579790606387757, 0.36213228539610076, 1.2628456961829566, 2.8356996290704406, 0.8234633002022335, 2.282789667255007, 1.4941579221379495, 2.05811873945508, 4.065898622636325), action_value: 0.0, 0.43, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 402, observation: (0, 0.08449053803507045, 0.05689298649880542, 0.06292597008622913, 0.5994947494093628, 2.036173491645418, 2.126610843498948, 1.7137044729629023, 5.226597604195909, 1.989873281206749, 2.481117247168308, 2.9084986472300085), action_value: 0.0, 0.04, 0.4, reward: 3.8192365169525146 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 95, observation: (0, 0.1397781749547371, 0.17267116145354253, 0.8954612834178306, 0.2416892110787543, 2.1858883237326463, 1.892252736222237, 4.332389271729876, 1.0042334737240297, 0.38907375565136554, 0.9963060642327823, 2.7356237458316053), action_value: 0.0, 0.19, 0.4, reward: 5.220926761627197 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 520, observation: (0, 0.46214284597635075, 0.5, 0.44896676962773985, 0.8959298529662183, 1.4063587753256057, 2.732581077261819, 2.4227968774854403, 0.7418434741198643, 2.6647564175358704, 3.7758297980192657, 2.400629001357736), action_value: 0.0, 0.06, 0.4, reward: 3.84951114654541 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 215, observation: (0, 0.7344907234373724, 0.5, 0.5089463294887027, 0.045099914823603204, 3.531910906462461, 1.1598100899954042, 1.304119618278815, 1.1954760893039658, 1.5943033601329009, 1.6479797905687597, 2.223125976519081), action_value: 0.0, 0.15, 0.4, reward: 5.431192874908447 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 400, observation: (0, 0.3877661565566187, 0.5, 0.2491311666980025, 0.7382651571766532, 2.7185498191600037, 1.4565285894306976, 0.9354188413466391, 0.1714202203497561, 2.355809870927276, 0.8580792876492805, 0.471840256052692), action_value: 0.0, 0.03, 0.4, reward: 3.8203859329223633 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 153, observation: (0, 0.07828016067660493, 0.5, 0.7293657927096909, 0.6247902326749118, 3.557225324724426, 0.6941154494024396, 4.58478624332844, 3.990536599027834, 1.868020800505564, 1.0192074452189062, 1.7732058431643765), action_value: 0.0, 0.08, 0.4, reward: 4.894644737243652 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 516, observation: (0, 0.34642819880980863, 0.5, 0.6748880928565748, 0.5735019909518547, 0.576795937428665, 2.0750504922579296, 1.941924179812347, 1.2455325018575454, 2.4163987561956604, 1.7184183382645466, 2.394858678633903), action_value: 0.0, 0.18, 0.4, reward: 4.0270891189575195 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (1): action: 91, observation: (0, 0.4983969859358704, 0.5, 0.1731818149526646, 0.06228032582305587, 0.8290843016663614, 3.0862905646650547, 2.6570368586887128, 0.8422712296323804, 2.8723090509991347, 1.5925804960885404, 3.494704361942311), action_value: 0.0, 0.1, 0.4, reward: 3.834446430206299 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1/1600): reward: 26.448525974527, rho: 0.4000000000000001, rates: 1.7724262987263502
[TRAIN]: SAVE MODEL: best_reward: 26.448525974527
[TRAIN_EPISODE]: (2): action: 315, observation: (1, 0, 0.0, 0.43229368055650097, 0.44345267732688853, 0.6264630404097149, 1.5092922038929386, 0.5940592708394223, 1.2303491680926084, 3.309308426356646, 1.4658417247051547, 2.1243431410784637), action_value: 0.0, 0.41000000000000003, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 41, observation: (1, 0.5358681201544362, 0.2898681201544362, 0.8199968155548046, 0.816498341551153, 1.6688672503840534, 2.1502469949448537, 0.8144330058744774, 0.8890044400607371, 3.5230387832692136, 1.0957064441497675, 2.124861834039885), action_value: 0.0, 0.03, 0.4, reward: 0.014931180514395237 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 238, observation: (1, 0.6554054543263048, 0.5, 0.6634612303130213, 0.4712982928427264, 2.8696672628912965, 0.9040482492692731, 0.4715127105825906, 1.27481554213805, 2.2681300363490964, 1.4411568929479597, 0.9577064888673638), action_value: 0.0, 0.4, 0.4, reward: 0.6309515237808228 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 468, observation: (1, 0.2014983900268515, 0.46149839002685145, 0.4992655527960336, 0.4867878252257718, 2.619246971494606, 0.7164187376404272, 0.6476336202425775, 2.8022742159939438, 1.9091293818526158, 1.6734049343025663, 3.1734560328099763), action_value: 0.0, 0.34, 0.4, reward: 0.5812849998474121 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 237, observation: (1, 0.7299020570343884, 0.5, 0.6710601335842724, 0.6905778079101976, 1.8738519623863075, 2.732849302421141, 1.6077888140555634, 0.5065151294344187, 1.2789838619159082, 1.7616004473831206, 1.2926091077966355), action_value: 0.0, 0.28, 0.4, reward: 0.40324777364730835 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 284, observation: (1, 0.4956493518639705, 0.5, 0.5549052605255025, 0.8018910853081412, 2.2240930103517402, 1.326888112854591, 1.522859823444486, 1.4579429415509797, 1.6094903207556501, 0.7475085691942406, 1.9619781681306445), action_value: 0.0, 0.28, 0.4, reward: 0.34060755372047424 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 62, observation: (1, 0.6376154880927097, 0.5, 0.32786481757626385, 0.1535344671230825, 2.0859820424021644, 1.0093798896896575, 1.1224804919261784, 2.186404369384587, 1.3574700923029888, 2.384398523442562, 1.946634306545157), action_value: 0.0, 0.44, 0.4, reward: 1.457008719444275 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 114, observation: (1, 0.16063982419167902, 0.396639824191679, 0.8602934094217242, 0.4489968949355073, 2.267963520941704, 3.7756462948566156, 0.5360673904002445, 1.014034547134781, 2.2017791562626527, 2.292006722362836, 2.7290288366096607), action_value: 0.0, 0.44, 0.4, reward: 0.6036276817321777 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 114, observation: (1, 0.5154615196057715, 0.5, 0.5850634072045227, 0.22913657906005314, 1.5761477034252889, 3.5694637052239493, 2.365348743010991, 1.6974077454389418, 1.4934320280802615, 2.663766183004559, 2.5948183961947278), action_value: 0.0, 0.44, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 388, observation: (1, 0.37355138961264633, 0.5, 0.3184465461674949, 0.6006781679274876, 1.5031829055398802, 1.5943243338927229, 1.6594451833793074, 2.3389157137061987, 0.6941673940916047, 1.3927630270158016, 0.7037362209108303), action_value: 0.0, 0.03, 0.4, reward: 0.08868986368179321 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 373, observation: (0, 0.28274718262122395, 0.5, 0.85437288830408, 0.7397891111233571, 0.9866827370995411, 4.3868595618720025, 0.5774346410719834, 1.6477483126567318, 0.9361028315281041, 0.5577521644268955, 2.3035919547800123), action_value: 0.0, 0.24, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 218, observation: (0, 0.2915827347905069, 0.5, 0.45386405832442556, 0.9204024424787881, 1.303460456123728, 2.2264643424704373, 1.2152661071491297, 2.26445371713303, 1.8061802458701488, 2.7247801505360947, 1.0600834600673317), action_value: 0.0, 0.43, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 326, observation: (0, 0.535651341885546, 0.5, 0.6914247117584669, 0.8756674818156327, 2.497215369056606, 1.1603299631497237, 1.5659109439862602, 1.736450344061551, 3.5348635242153605, 1.418345372495419, 1.415741390721318), action_value: 0.0, 0.27, 0.4, reward: 5.639564514160156 - 1, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 364, observation: (0, 0.4975055064203972, 0.5, 0.5279649087095643, 0.015312637085703296, 1.9520579706010028, 2.0098465163005756, 2.170336469657513, 2.976504478738116, 1.4666761663980765, 1.2800909390019803, 2.2837984349716236), action_value: 0.0, 0.33, 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN_EPISODE]: (2): action: 79, observation: (0, 0.36507117757332075, 0.5, 0.8440252403040881, 0.09349284226970211, 2.926326407840062, 2.486643577030046, 2.7078037422030072, 2.204685054537268, 1.1762318675510155, 3.578396711398607, 1.939767956634423), action_value: 0.0, 0.11, 0.4, reward: 5.000955104827881 - 1, eps: 1.0, sample: -1, 
