[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 26, observation: (1, 0.6577961792501725, 0.0, 0.13688068058467895, 0.39978143135417876, 1.298611360039865, 0.700236861223011, 3.5238702456244084, 3.499991508459485, 23.588065807804874, 11.468527920189473, 4.487030949441372), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 214, observation: (1, 1.7833766610048802, 0.5, 0.9671505457453474, 0.21782424412075385, 2.1878286651807026, 8.735455520358007, 25.35777944491041, 14.82389619782699, 9.991584828582633, 11.834061092588836, 21.92582068747585), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 92, observation: (1, 2.499256284838742, 0.5, 0.11959124643390351, 0.7401475641655698, 5.1347899338441225, 1.9863632876145476, 10.255956358488005, 3.1362382851103767, 1.2027814926833327, 25.672572107821154, 8.779590761073543), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 48, observation: (1, 2.005794031981773, 0.5, 0.6395735564888261, 0.7450775066595628, 7.07487803991609, 0.023199767701161327, 11.422932112614028, 9.884666129801523, 40.128181230386666, 0.12861143842761097, 7.32922767606474), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 245, observation: (1, 0.3821621845809169, 0.5, 0.8613733425898477, 0.2144268997898241, 12.131544248096422, 0.42640030590789146, 22.987091556753022, 12.168722829645112, 0.9205027386106568, 1.3485905582892483, 3.62678339983147), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 2.660857633297052, 0.5, 0.6575887836828319, 0.6053953879598869, 13.397732426623243, 14.498529524268369, 10.721071573299172, 18.723159112393848, 21.283642014577747, 2.566816621488969, 11.650404086931296), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 9, observation: (1, 3.5252955410998132, 0.5, 0.4994762349401425, 0.5670349419078373, 2.476147898589316, 5.170206767700912, 0.5002158966105315, 0.5561847910042906, 4.054374385322835, 9.32843080629905, 16.95393251397207), rho: 0.4, reward: 0.028643403202295303 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 60, observation: (1, 0.14454903678386186, 0.5, 0.03491662488090397, 0.4361565330219539, 1.7448687139700134, 2.028008777665496, 4.528489510066282, 1.9584201740065155, 13.119642623541836, 17.290834632241786, 0.847915453364235), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 187, observation: (1, 1.0752090365175528, 0.11954903678386186, 0.7512455261484153, 0.1609373119437264, 5.056499605933885, 6.790694081054687, 20.33956974293091, 11.47540395410176, 2.0750384753672133, 1.275930344968277, 15.116137709772978), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 148, observation: (1, 0.8551036886968548, 0.5, 0.6491561340121824, 0.588808720733383, 5.751716209845901, 2.516796169458704, 1.1853610197232451, 4.497773458840337, 0.17448376134319682, 8.95070984364686, 3.802738850111704), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1): action: 190, observation: (0, 0.0863786506519934, 0.5, 0.07126407037701232, 0.8152647149352007, 18.479941522193947, 22.12102276327102, 6.878697262578576, 2.0496715311216205, 9.377104011102398, 2.1041332415405076, 8.058277559343349), rho: 0.4, reward: -1.0 - 0, eps: 1.0, sample: -1, 
