[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 75
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -57.0, rates: 0, loss: 0, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -48.45187836885452, rates: 1.5481215793897303, loss: 1.7350934326648713, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -53.62505728006363, rates: 0.3749427117640883, loss: 1.9426535487174987, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: -50.199310913681984, rates: 0.8006890845261956, loss: 1.7248373448848724, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -70.84462803602219, rates: 1.1553720737169684, loss: 1.7750208616256713, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -52.80518262088299, rates: 1.1948173695461008, loss: 1.7748176395893096, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: -65.05600881576538, rates: 0.9439910605049265, loss: 1.8952918529510498, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -58.10252869129181, rates: 1.8974712666885019, loss: 1.7831689298152924, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -41.604177832603455, rates: 0.395822180702868, loss: 1.8892701506614684, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -45.5712354183197, rates: 0.42876449307786274, loss: 2.018836259841919, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -63.82985043525696, rates: 0.170149581849692, loss: 1.985587340593338, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -39.13163864612579, rates: 3.8683614991314195, loss: 1.6924674749374389, rho: 0.4000000000000001
[MAIN]: END
